id;name_ar;name_en;code;status
1;Rubber;1080p Handmade;groupware Nigeria Optimized;49021
2;Rubber;State);Persevering;84076
3;Mexico Wooden;payment;sensor leverage synthesizing;24230
4;Chicken array;Assurance;hack Dollar;31856
5;blue mint Licensed;Wooden Ergonomic Intelligent;Gibraltar indigo parsing;38115
6;Group;feed;Associate Guinea-Bissau;56649
7;global West Chicken;encoding Loan Indiana;JBOD Kansas;68651
8;Granite;Meadow Gloves;Cotton;24238
9;quantify Kentucky;Republic Architect;Internal deposit revolutionize;7887
10;deposit;Profound;Cuba;26713
