id;pass_score;score;time_in_sec;validfrom;validto;start_at;submit_at;user_id;examiner_id;exam_code;exam_date;exam_result;exported;status
1;90766;70359;90335;2022-11-05T08:18:01;2022-11-05T20:31:48;2022-11-05T18:26:43;2022-11-05T03:51:48;92496;22238;41474;2022-11-05T17:40:44;58533;true;82693
2;17437;80962;77880;2022-11-05T21:22:00;2022-11-06T00:15:27;2022-11-05T12:16:27;2022-11-05T01:08:11;49238;55321;73090;2022-11-05T23:15:51;15144;false;38221
3;51556;4823;66051;2022-11-05T06:11:54;2022-11-05T13:04:09;2022-11-05T15:13:02;2022-11-05T10:55:50;73944;65051;18724;2022-11-05T08:51:02;20553;false;64036
4;26405;61673;718;2022-11-05T07:38:58;2022-11-05T14:01:58;2022-11-05T23:42:56;2022-11-05T09:36:06;78216;15733;91903;2022-11-05T15:55:09;98358;true;6684
5;77425;91019;47984;2022-11-05T07:58:45;2022-11-05T11:00:09;2022-11-05T11:40:47;2022-11-05T13:46:53;7738;4531;74031;2022-11-05T01:56:41;52629;false;20693
6;96339;73761;18763;2022-11-05T11:48:19;2022-11-05T11:14:59;2022-11-05T09:24:43;2022-11-05T10:17:00;95832;84817;19019;2022-11-05T21:44:39;90446;true;34482
7;73324;84919;49743;2022-11-05T16:45:46;2022-11-05T11:39:33;2022-11-05T19:31:12;2022-11-05T02:17:33;55562;20629;69557;2022-11-05T07:43:45;89440;false;44477
8;12484;57066;2588;2022-11-05T13:42:46;2022-11-05T22:21:53;2022-11-05T18:47:17;2022-11-05T19:52:18;15699;60573;42923;2022-11-05T19:04:03;79558;false;92782
9;99082;52710;73832;2022-11-05T09:32:05;2022-11-05T08:36:25;2022-11-05T03:16:04;2022-11-05T21:53:19;53361;84541;7937;2022-11-05T10:31:28;6173;true;91342
10;46123;94516;16503;2022-11-05T18:41:17;2022-11-05T13:09:05;2022-11-05T05:33:31;2022-11-05T11:23:13;44145;82324;33539;2022-11-05T18:36:38;12175;false;36556
