id;desc_ar;desc_en;code;img_path;time_in_sec;type;weight;status
1;quantify;compress Junctions;open-source withdrawal;withdrawal;20118;39056;13922;63423
2;online;Dynamic neural driver;mint;Books;18221;28803;79197;51785
3;Communications;Iowa Implementation invoice;(Bouvetoya) Table;systemic Platinum;5956;51397;25836;7391
4;lavender Junction;Carolina;Bedfordshire Rupee;group e-enable Account;49551;60578;57242;77577
5;redundant;quantifying;salmon Programmable;Usability;2906;76559;24875;92997
6;Suriname Designer Internal;Rhode user-centric navigate;Forward networks real-time;COM;7230;30499;29318;20964
7;Shirt Shoes;deposit;Baby International integrate;Trail Accountability Operations;86551;84844;3957;75183
8;Cotton Optimization;Movies Metal payment;maroon firewall Yemen;Shores Sports;79828;87902;93495;15499
9;bypassing experiences;auxiliary Card Dynamic;Facilitator San coherent;Research;28776;59742;22739;43942
10;Djibouti;redundant;infrastructures Avon Costa;auxiliary;59633;52097;35630;12715
